data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
370278,434,LBY597,597,2011-07-29,2011,2,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,3,Reuters,International,"Libyan government spokesman claims Gaddafi forces have killed 190 rebels in three days. Positions not reported.",190,1517243930
370279,434,LBY598,598,2011-07-29,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,Ghezaia,31.904,10.8106,1,Reuters,International,"Rebel forces take several small towns near the border with Tunisia.",0,1517243930
370280,434,LBY599,599,2011-07-29,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,Takut,31.953,11.0445,1,Reuters,International,"Rebel forces take several small towns near the border with Tunisia.",0,1517243930
370281,434,LBY600,600,2011-07-29,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,"Umm al Far Abyar",32.0582,10.886,1,Reuters,International,"Rebel forces take several small towns near the border with Tunisia.",0,1517243930
370282,434,LBY601,601,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,Reuters,International,"NATO airstrikes hit the following targets: one military facility.",0,1517243930
370283,434,LBY602,602,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Yafran-Jadu,"Az Zawiyah",,"Bir al Ghanam",32.3113,12.5685,1,Reuters,International,"NATO airstrikes hit the following targets: one command and control facility.",0,1517243930
370284,434,LBY603,603,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,Reuters,International,"NATO airstrikes hit the following targets: two armed military vehicles, one mortar, one multiple rocket launcher, two military logistic vehicles and seven military facilities.",0,1517243930
370285,434,LBY604,604,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Waddan,29.1614,16.139,1,Reuters,International,"NATO airstrikes hit the following targets: one ammunition storage facility.",0,1517243930
370286,434,LBY605,605,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Yafran,32.0633,12.5286,1,Reuters,International,"NATO airstrikes hit the following targets: one anti-aircraft gun.",0,1517243930
370287,434,LBY606,606,2011-07-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Mizdah,"Al Jabal al Gharbi",,Mizdah,31.4451,12.9801,1,"BBC Monitoring Newsfile",National,"NATO forces bomb a traffic checkpoint, kill three civilians.",3,1517243930
370288,434,LBY589,589,2011-07-28,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,"Al Jawsh",32,11.6667,1,"Agence France Presse",International,"Opposition forces launch an attack on a Gaddafi held town.",0,1517243930
370289,434,LBY590,590,2011-07-28,2011,1,"Battle-No change of territory","Unidentified Armed Group (Libya)",,3,"NLA: National Liberation Army",,2,23,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,2,"Agence France Presse",International,"General Abdel Fatah Younes, a former senior official in Gaddafis regime who defected to lead rebel forces, has been killed by an assassin. The assassin was later caught by NLA forces. Two aides were also killed.",3,1517243930
370290,434,LBY591,591,2011-07-28,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,Ghezaia,31.904,10.8106,1,"Agence France Presse",International,"Rebel forces seize a small town near the Tunisian border.",0,1517243930
370291,434,LBY592,592,2011-07-28,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,"Umm al Far Abyar",32.0582,10.886,1,"Agence France Presse",International,"Rebel forces seize a small town near the Tunisian border.",0,1517243930
370292,434,LBY593,593,2011-07-28,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"NATO bombing run on Tripoli locations.",0,1517243930
370293,434,LBY594,594,2011-07-28,2011,1,"Strategic development","Unidentified Armed Group (Libya)",,3,"NLA: National Liberation Army",,2,23,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,2,"Agence France Presse",International,"Rebel forces capture General Younes assassin.",0,1517243930
370294,434,LBY595,595,2011-07-28,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Nalut,Nalut,,Nalut,31.8685,10.9812,1,"The Tripoli Post",National,"Gaddafi forces launch rockets into a rebel held town.",0,1517243930
370295,434,LBY587,587,2011-07-24,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,Reuters,International,"Opposition forces repel an offensive by government troops in the town of Qwalish.",0,1517243930
370296,434,LBY588,588,2011-07-24,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,Reuters,International,"NATO bombing run on Tripoli, key intelligence building hit. No report of injury of death.",0,1517243930
370297,434,LBY582,582,2011-07-23,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Marqab","Al Marqab",,"Al Khums",32.6486,14.2619,1,Reuters,International,"NATO bombing run strikes the following enemy target: one military storage facility.",0,1517243930
370298,434,LBY583,583,2011-07-23,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,Reuters,International,"NATO bombing run strikes the following enemy target: one military storage facility, one multiple rocket-launcher, one command and control node, one armored vehicle in the vicinity of Brega.",0,1517243930
370299,434,LBY584,584,2011-07-23,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,Reuters,International,"NATO bombing run strikes the following enemy target: two command and control nodes, two surface-to-air missile launchers, one anti-aircraft gun.",0,1517243930
370300,434,LBY585,585,2011-07-23,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Waddan,29.1614,16.139,1,Reuters,International,"NATO bombing run strikes the following enemy target: one military storage facility.",0,1517243930
370301,434,LBY586,586,2011-07-23,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,1,Reuters,International,"NATO bombing run strikes the following enemy target: one artillery piece, four military storage facilities.",0,1517243930
370302,434,LBY577,577,2011-07-22,2011,2,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,1,"Guardian Unlimited",International,"Rebel forces advance toward Zlitan, reorganize one mile from the gates of the city. Fighting lasts over the course of two days. 16 rebel fighters wounded, 126 wounded.",16,1517243930
370303,434,LBY578,578,2011-07-22,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,Reuters,International,"A Libyan official said six guards were killed in an airstrike on a pipeline production plant just south of Brega in eastern Libya.",6,1517243930
370304,434,LBY579,579,2011-07-22,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,Reuters,International,"One of Gaddafis top lieutenants, Ali Essawi, is killed in a NATO bombing run. Others injured, including one of Gaddafis sons. The news came after seven strong blasts throughout the city.",1,1517243930
370305,434,LBY580,580,2011-07-22,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Civilians (Libya)",,7,78,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Ajdabiya,30.7554,20.2263,1,"BBC Monitoring Newsfile",National,"State television reports a NATO bombing resulting in injured civilians",0,1517243930
370306,434,LBY581,581,2011-07-22,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Civilians (Libya)",,7,78,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Bishr,30.3,19.2167,1,"BBC Monitoring Newsfile",National,"State television reports a NATO bombing resulting in injured civilians",0,1517243930
370307,434,LBY576,576,2011-07-21,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army","Operation Unified Protector: NATO Mission in Libya (2011-2011)",2,12,"Northern Africa",Libya,Misratah,Misratah,,Misratah,32.3754,15.0925,1,"Guardian Unlimited",International,"Rebel forces, supported by NATO airstrikes, make gains in Misratah. Seven fighters killed, fourteen wounded.",7,1517243930
370308,434,LBY575,575,2011-07-19,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,Reuters,International,"NATO helicopters bomb convoys as they tried to re-supply Gaddafis forces to renew fighting over the eastern Libyan town of Brega.",0,1517243930
370309,434,LBY572,572,2011-07-18,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,"Agence France Presse",International,"Rebel fighters are able to gain control of Brega after nearly five days of fighting.",0,1517243930
370310,434,LBY573,573,2011-07-18,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Sabha,Sabha,,Sabha,27.0377,14.4283,1,"Dow Jones News Service",International,"Rebels capture a small, but strategic town.",0,1517243930
370311,434,LBY574,574,2011-07-18,2011,1,"Battle-No change of territory","Military Forces of United Kingdom",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tagiura,32.8817,13.3506,1,"Targeted News Service",International,"RAF Tornado and Typhoon aircraft returned for a second night of precision strikes against the large military vehicle depot at Tajura, on the outskirts of Tripoli.",0,1517243930
370312,434,LBY570,570,2011-07-17,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,"Agence France Presse",International,"Gaddafi and rebel forces continue to fight in Brega. Ten rebels reported killed. The town is controlled street-to-street.",10,1517243930
370313,434,LBY571,571,2011-07-17,2011,1,"Battle-No change of territory","Military Forces of United Kingdom",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tagiura,32.8817,13.3506,1,"Targeted News Service",International,"RAF aircraft strike the Tajura area.",0,1517243930
370314,434,LBY568,568,2011-07-16,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,"Agence France Presse",International,"Nine killed and 79 injured in a renewed push for Brega. 178 people have been injured battling for Brega since Thursday of this week.",9,1517243930
370315,434,LBY569,569,2011-07-16,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Yafran-Jadu,"Az Zawiyah",,"Bir al Ghanam",32.3113,12.5685,1,Reuters,International,"Gaddafi and rebel forces battle in a small town 80km away from Tripoli. Rebel forces maintained the high ground during the operation.",0,1517243930
370316,434,LBY567,567,2011-07-15,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,"Agence France Presse",International,"Rebels lose three men in an assault on Brega, though they did secure more ground. 12 others were wounded.",3,1517243930
370317,434,LBY565,565,2011-07-14,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,"Agence France Presse",International,"One NLA fighter is dead and five others wounded in fighting.",1,1517243930
370318,434,LBY566,566,2011-07-14,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,"Daily Star",Regional,"Rebels retake Al Qawalish. Five rebels dead plus 15 wounded.",5,1517243930
370319,434,LBY562,562,2011-07-13,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Jafara,Tripoli,,Asbiah,32.5167,13.1667,1,"Agence France Presse",International,"Libyan rebels repulsed loyalists who had retaken the desert hamlet of Gualish on Wednesday and chased them to the outskirts of Asbiah, shelling the town from nearby hills.",0,1517243930
370320,434,LBY563,563,2011-07-13,2011,3,"Violence against civilians","NLA: National Liberation Army",,2,"Civilians (Libya)",,7,27,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,1,"Al Jazeera English",International,"Libyan rebel fighters who capture villages from forces loyal to Muammar Gaddafi have looted shops, burned homes and beaten people suspected of supporting the Libyan leader, according to the Human Rights Watch organization. One such village in Zlitan.",0,1517243930
370321,434,LBY564,564,2011-07-13,2011,1,"Battle-Government regains territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,Reuters,International,"Gaddafi forces attack and retake the village of Al Qawalish.",0,1517243930
370322,434,LBY560,560,2011-07-11,2011,1,"Strategic development","NLA: National Liberation Army","Civilians (Libya)",2,,,0,20,"Northern Africa",Libya,Yafran-Jadu,"Al Jabal al Gharbi",,"Jebel Nafusa",31.8333,12,2,"Agence France Presse",International,"Scores of youths who fled towns and cities held by Gaddafis forces have joined rebels on the front line in the Nafusa mountains.",0,1517243930
370323,434,LBY561,561,2011-07-11,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Waddan,29.1614,16.139,1,"BBC Monitoring Newsfile",National,"Libyan television reports NATO bombed civilians and military sites in in Waddan.",0,1517243930
370324,434,LBY556,556,2011-07-10,2011,1,"Strategic development","NLA: National Liberation Army",,2,,,0,20,"Northern Africa",Libya,"An Nuqat al Khams","An Nuqat al Khams",,Zuwarah,32.9312,12.082,1,"Agence France Presse",International,"Rebel forces cut an oil pipeline supplying Gaddafi forces.",0,1517243930
370325,434,LBY557,557,2011-07-10,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,1,Reuters,International,"One rebel was killed and thirty-two wounded during an attempted rebel advance upon Zliten. The casualties resulted from land mines laid by retreating troops in the neighborhood of Suq al-Thulatha.",1,1517243930
370326,434,LBY558,558,2011-07-10,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,Reuters,International,"Pro-Gaddafi forces launched a counterattack on al-Qawalish with the launching of half a dozen Grad rockets into the hamlet. Rebels replied with anti-tank fire. No report of causalities.",0,1517243930
370327,434,LBY559,559,2011-07-10,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Civilians (Libya)",,7,78,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tagiura,32.8817,13.3506,1,"BBC Monitoring Newsfile",National,"According to state television NATO forces bomb a school in the late day hours.",0,1517243930
370328,434,LBY554,554,2011-07-08,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"Two large bombing explosions a heard late into the evening.",0,1517243930
370329,434,LBY555,555,2011-07-08,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,Reuters,International,"NATO forces bomb a mountain area outside Al Qawalish.",0,1517243930
370330,434,LBY551,551,2011-07-06,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)","Operation Unified Protector: NATO Mission in Libya (2011-2011)",1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,2,"Agence France Presse",International,"Rebel forces launch an assault on Gaddafi positions, gaining ground en route to Tripoli. Several attacks were coordinated with NATO.",0,1517243930
370331,434,LBY552,552,2011-07-06,2011,1,"Battle-Non-state actor overtakes territory","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,"Al Qawalish",31.9128,12.7013,1,Reuters,International,"Rebels seize a small, remote village, southeast of Tripoli, from Gaddafi forces after a six hour battle. No report of causalities.",0,1517243930
370332,434,LBY553,553,2011-07-06,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,"Al Marqab","Al Marqab",,Zlitan,32.4674,14.5687,2,Reuters,International,"Rebels pushing toward Misratah by way of Zlitan come under heavy mortar fire. Fourteen dead.",14,1517243930
370333,434,LBY549,549,2011-07-05,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"Civilians (Libya)",,7,17,"Northern Africa",Libya,Misratah,Misratah,,Misratah,32.3754,15.0925,1,"Agence France Presse",International,"Shelling by Gaddafi forces kills 11 and wounded another 57 in Misratah. The causalities were almost all civilians.",11,1517243930
370334,434,LBY550,550,2011-07-05,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Hun,29.1268,15.9477,2,"BBC Monitoring Newsfile",National,"State television reports NATO forces bombed locations in the Al Jufrah District.",0,1517243930
370335,434,LBY545,545,2011-07-04,2011,1,"Remote violence","Unidentified Armed Group (Libya)",,3,,,0,30,"Northern Africa",Libya,"Al Hizam Al Akhdar",Benghazi,,Benghazi,32.1177,20.1293,1,"Agence France Presse",International,"A car bomb, undetonated, is discovered outside a Benghazi hotel. . Sources claimed the car was parked there for weeks before the discovery",0,1517243930
370336,434,LBY546,546,2011-07-04,2011,1,"Strategic development","Military Forces of Libya (1969-2011)",,1,,,0,10,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"Agence France Presse",International,"Libyan forces intercept a Qatari boat bound for Libyan NLA forces in Libya. The boat was discovered not in, but in the sea outside Tripoli.",0,1517243930
370337,434,LBY547,547,2011-07-04,2011,1,"Violence against civilians","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Civilians (Libya)",,7,78,"Northern Africa",Libya,"Az Zawiyah","Az Zawiyah",,"Az Zawiyah",32.7571,12.7276,1,"BBC Monitoring Newsfile",National,"Libyan state television reports NATO strikes on civilian checkpoints. Causalities reported.",0,1517243930
370338,434,LBY548,548,2011-07-04,2011,1,"Violence against civilians","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Civilians (Libya)",,7,78,"Northern Africa",Libya,Tarhunah-Masallatah,Misratah,,"Bani Walid",31.7566,13.9942,1,"BBC Monitoring Newsfile",National,"Libyan state television reports NATO strikes on civilian checkpoints. Causalities reported.",0,1517243930
370339,434,LBY544,544,2011-07-02,2011,1,"Non-violent transfer of territory","Military Forces of Sudan (1989-)",,8,,,0,80,"Northern Africa",Libya,"Al Kufrah","Al Kufrah",,"Al Kufrah",24.1667,23.2696,1,"Daily Telegraph",Regional,"The Daily Telegraph reports that Sudanese military forces have seized the southern town of Kufra. They apparently encountered no resistance from the Gaddafi regime.",0,1517243930
370340,434,LBY542,542,2011-07-01,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tagiura,32.8817,13.3506,1,Reuters,International,"A NATO raid causes three large explosions in central Tripoli. Columns of black smoke were seen rising from the direction of Gaddafis central Bab Al Aziziya compound.",0,1517243930
370341,434,LBY543,543,2011-07-01,2011,1,"Remote violence","Military Forces of Libya (1969-2011)",,1,"NLA: National Liberation Army",,2,12,"Northern Africa",Libya,Yafran-Jadu,"Az Zawiyah",,"Bir al Ghanam",32.3113,12.5685,1,Reuters,International,"NLA forces withdraw from a town 80km south of Tripoli after they come under heavy bombardment from Gaddafi forces.",0,1517243930
370342,434,LBY541,541,2011-06-30,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Hun,29.1268,15.9477,2,"BBC Monitoring Newsfile",National,"Libyan television reports a NATO bombing somewhere in the Al Jufrah district.",0,1517243930
370343,434,LBY533,533,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Ajdabiya,"Al Wahat",,Brega,30.4062,19.5739,1,Reuters,International,"NATO strikes at enemy positions hitting twelve military vehicles, one military truck, one armored personnel carrier, one ammunition storage, one military compound and one military checkpoint.",0,1517243930
370344,434,LBY534,534,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Gharyan,32.1722,13.0203,1,Reuters,International,"NATO strikes at enemy positions hitting four battle tanks, one military technical vehicle, one heavy equipment transport.",0,1517243930
370345,434,LBY535,535,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Misratah,Misratah,,Misratah,32.3754,15.0925,1,Reuters,International,"NATO strikes at enemy positions hitting one multiple rocket launcher, five battle tanks, two artillery pieces, three military vehicles.",0,1517243930
370346,434,LBY536,536,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Nalut,Nalut,,Nalut,31.8685,10.9812,1,Reuters,International,"NATO strikes at enemy positions hitting one military technical vehicle.",0,1517243930
370347,434,LBY537,537,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Surt,Surt,,Sirte,31.2089,16.5887,1,Reuters,International,"NATO strikes at enemy positions hitting one battle tank, one military technical vehicle.",0,1517243930
370348,434,LBY538,538,2011-06-29,2011,1,"Battle-No change of territory","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Al Jufrah","Al Jufrah",,Waddan,29.1614,16.139,1,Reuters,International,"NATO strikes at enemy positions hitting one ammunition storage facility.",0,1517243930
370349,434,LBY539,539,2011-06-29,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,Reuters,International,"NATO strikes at enemy positions hitting one self-propelled anti-aircraft gun, one military technical vehicle, two multiple rocket launchers and one military equipment storage facility.",0,1517243930
370350,434,LBY540,540,2011-06-29,2011,1,"Battle-No change of territory","Military Forces of Libya (1969-2011) Special Forces",,1,"Al Qaeda",,2,12,"Northern Africa",Libya,"Tajura wa an Nawahi al Arba",Tripoli,,Tripoli,32.8925,13.18,1,"BBC Monitoring Newsfile",National,"Libyan television reported Libyan Special Forces killed two members of Al-Qaeda and claimed they were conspiring with NATO to destroy the stability of Libya.",2,1517243930
370351,434,LBY529,529,2011-06-28,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Gharyan,"Al Jabal al Gharbi",,Gharyan,32.1722,13.0203,1,"BBC Monitoring Newsfile",National,"NATO begins a series of bombing runs over the course of two days on a small town south of Tripoli. Libyan state television reports there were civilians causalities and many buildings, including a school, destroyed in the blasts.",0,1517243930
370352,434,LBY530,530,2011-06-28,2011,1,"Remote violence","Operation Unified Protector: NATO Mission in Libya (2011-2011)",,8,"Military Forces of Libya (1969-2011)",,1,18,"Northern Africa",Libya,Nalut,Nalut,,Nalut,31.8685,10.9812,1,"BBC Monitoring Newsfile",National,"Libyan television reports NATO bombings on three towns which destroyed ""livestock, crops, infrastructure, civilian and military locations."" No causality numbers provided.",0,1517243930
